original_filename,recovered_filename,status,jp,vocab_id,target_filename,target_path
106_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πé╣πâ╝πâÅπéÜπâ╝.wav,106_東北きりたん（ノーマル）_スーパー.wav,matched,スーパー,jpln1200_pre_028,jpln1200_pre_028.wav,audio/jpln1200_pre_028.wav
107_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σàêΘÇ▒.wav,107_東北きりたん（ノーマル）_先週.wav,matched,先週,jpln1200_pre_029,jpln1200_pre_029.wav,audio/jpln1200_pre_029.wav
108_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πü¥πéîπüïπéë.wav,108_東北きりたん（ノーマル）_それから.wav,matched,それから,jpln1200_pre_030,jpln1200_pre_030.wav,audio/jpln1200_pre_030.wav
109_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πüƒπéÖπüïπéë.wav,109_東北きりたん（ノーマル）_だから.wav,matched,だから,jpln1200_pre_031,jpln1200_pre_031.wav,audio/jpln1200_pre_031.wav
110_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πüƒπüÅπüòπéô.wav,110_東北きりたん（ノーマル）_たくさん.wav,matched,たくさん,jpln1200_pre_032,jpln1200_pre_032.wav,audio/jpln1200_pre_032.wav
111_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Φ┐æπüÅ.wav,111_東北きりたん（ノーマル）_近く.wav,matched,近く,jpln1200_pre_033,jpln1200_pre_033.wav,audio/jpln1200_pre_033.wav
112_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_µ£║.wav,112_東北きりたん（ノーマル）_机.wav,matched,机,jpln1200_pre_034,jpln1200_pre_034.wav,audio/jpln1200_pre_034.wav
113_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πü¿πéÖπüåπüùπüª.wav,113_東北きりたん（ノーマル）_どうして.wav,matched,どうして,jpln1200_pre_035,jpln1200_pre_035.wav,audio/jpln1200_pre_035.wav
114_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_µÖé.wav,114_東北きりたん（ノーマル）_時.wav,matched,時,jpln1200_pre_036,jpln1200_pre_036.wav,audio/jpln1200_pre_036.wav
115_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_ΘÜú.wav,115_東北きりたん（ノーマル）_隣.wav,matched,隣,jpln1200_pre_037,jpln1200_pre_037.wav,audio/jpln1200_pre_037.wav
116_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_µÆ«πéï.wav,116_東北きりたん（ノーマル）_撮る.wav,matched,撮る,jpln1200_pre_038,jpln1200_pre_038.wav,audio/jpln1200_pre_038.wav
117_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Σ╕¡.wav,117_東北きりたん（ノーマル）_中.wav,matched,中,jpln1200_pre_039,jpln1200_pre_039.wav,audio/jpln1200_pre_039.wav
118_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_τî½.wav,118_東北きりたん（ノーマル）_猫.wav,matched,猫,jpln1200_pre_040,jpln1200_pre_040.wav,audio/jpln1200_pre_040.wav
119_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πâÅπéÖπé╣σü£.wav,119_東北きりたん（ノーマル）_バス停.wav,matched,バス停,jpln1200_pre_041,jpln1200_pre_041.wav,audio/jpln1200_pre_041.wav
120_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Φè▒.wav,120_東北きりたん（ノーマル）_花.wav,matched,花,jpln1200_pre_042,jpln1200_pre_042.wav,audio/jpln1200_pre_042.wav
121_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πâÅπéÜπâ│.wav,121_東北きりたん（ノーマル）_パン.wav,matched,パン,jpln1200_pre_043,jpln1200_pre_043.wav,audio/jpln1200_pre_043.wav
122_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σ╖ª.wav,122_東北きりたん（ノーマル）_左.wav,matched,左,jpln1200_pre_044,jpln1200_pre_044.wav,audio/jpln1200_pre_044.wav
123_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Σ╕ÇΣ║║πüªπéÖ.wav,123_東北きりたん（ノーマル）_一人で.wav,matched,一人で,jpln1200_pre_045,jpln1200_pre_045.wav,audio/jpln1200_pre_045.wav
124_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Σ║║.wav,124_東北きりたん（ノーマル）_人.wav,matched,人,jpln1200_pre_046,jpln1200_pre_046.wav,audio/jpln1200_pre_046.wav
125_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_τùàΘÖó.wav,125_東北きりたん（ノーマル）_病院.wav,matched,病院,jpln1200_pre_047,jpln1200_pre_047.wav,audio/jpln1200_pre_047.wav
126_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πâ¢πâåπâ½.wav,126_東北きりたん（ノーマル）_ホテル.wav,matched,ホテル,jpln1200_pre_048,jpln1200_pre_048.wav,audio/jpln1200_pre_048.wav
127_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_µ£¼σ▒ï.wav,127_東北きりたん（ノーマル）_本屋.wav,matched,本屋,jpln1200_pre_049,jpln1200_pre_049.wav,audio/jpln1200_pre_049.wav
128_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σëì.wav,128_東北きりたん（ノーマル）_前.wav,matched,前,jpln1200_pre_050,jpln1200_pre_050.wav,audio/jpln1200_pre_050.wav
129_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_τö║.wav,129_東北きりたん（ノーマル）_町.wav,matched,町,jpln1200_pre_051,jpln1200_pre_051.wav,audio/jpln1200_pre_051.wav
130_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σ╛àπüñ.wav,130_東北きりたん（ノーマル）_待つ.wav,matched,待つ,jpln1200_pre_052,jpln1200_pre_052.wav,audio/jpln1200_pre_052.wav
131_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σÅ│.wav,131_東北きりたん（ノーマル）_右.wav,matched,右,jpln1200_pre_053,jpln1200_pre_053.wav,audio/jpln1200_pre_053.wav
132_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πééπüùπééπüù.wav,132_東北きりたん（ノーマル）_もしもし.wav,matched,もしもし,jpln1200_pre_054,jpln1200_pre_054.wav,audio/jpln1200_pre_054.wav
133_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πâ¼πé╣πâêπâ⌐πâ│.wav,133_東北きりたん（ノーマル）_レストラン.wav,matched,レストラン,jpln1200_pre_055,jpln1200_pre_055.wav,audio/jpln1200_pre_055.wav
134_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πâ¼πâ¢πéÜπâ╝πâê.wav,134_東北きりたん（ノーマル）_レポート.wav,matched,レポート,jpln1200_pre_056,jpln1200_pre_056.wav,audio/jpln1200_pre_056.wav
135_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πéÅπüïπéï.wav,135_東北きりたん（ノーマル）_わかる.wav,matched,わかる,jpln1200_pre_057,jpln1200_pre_057.wav,audio/jpln1200_pre_057.wav
